593.3,22.3
1496.5,20.3
604.7,21.6
1780.9,17
1693.6,20.5
1024.5,17.1
1822.9,14.8
1357,46.5
1098.9,30.5
2708.8,19.1
233.2,4.3
1450,52.8
1228.6,22.6
1200.8,38.5
1605.8,16
1863.5,21
1421.7,77.8
986.4,20.7
383.7,6.8
256.2,4.1
536.1,16.9
1131.7,71.4
337.3,7
2549.8,19.3
1099.4,27
1101.8,19.4
1677.9,20.8
1415.1,18.9
1172.3,21.5
1075.2,138.2
1105.3,44
1069.8,40.8
231.2,4.3
1095.1,20.9
1010.2,43.1
1992.2,20
1155.9,62.6
624.1,17.6
1677.9,20.8
1119.9,109
999.4,70.2
1415.5,79.7
1653.9,20.7
1073.1,67.9
1010.6,16.8
973.9,21.1
1092.7,93.3
1377,39
492.8,9.8
1285.6,30.7
1008.5,22
1619.2,15.6
1040.1,24.2
1661.6,18.5
1500,19.6
2113.3,23.5
338.5,8.1
1415.4,51.1
270.7,5.3
347.1,7.4
