286.7,3.7
1736,20
307.8,4.8
294.6,4.3
319.9,5.1
502.7,5.4
310.1,5.3
321.1,3.1
1023,47
300.8,4.2
1978,31
311.5,3.7
313.8,4.2
810,12
311,3.5
301.2,4.2
299.8,3.3
304,3.5
323.2,7.7
833.3,7.8
1751,35
311.6,4.3
615.7,5.3
330.4,5.1
667.5,9.2
581.4,6.1
308.9,4.3
553,11
386.5,5.4
1036,38
547.3,8.6
850,110
301.4,3.5
583.9,7.5
774,22
1028,29
318.2,4.5
310.9,3.2
302.3,5.4
462.2,5.4
291.4,6.7
552.1,8.9
521.6,4.4
607,11
321.2,7.2
312,3.5
1758,21
1920,59
734.7,9
557,5.7
822.5,7.6
716.5,9.5
302,4.4
317.3,4
681.7,7.2
296.8,8.2
464.9,4.8
290.1,3.2
1947,39
317.7,5.9
