280.9,4.5
2010,50
705.7,6.7
720,17
433,12
333.5,6.1
686.2,7.7
302.4,2.2
332.2,7.4
691.2,7.4
305.9,4.8
654,13
275.1,3.9
311.6,3.5
635.8,8.1
298.7,3.4
307,3
318.9,7
276,3.8
298.7,3.8
646,13
640,12
672,13
784,15
542,15
308.9,4.3
294.8,4.2
605.5,8.8
316.2,3.7
536.2,7.6
304.4,4
577.7,8.7
2567,20
623.1,6
624,11
470.7,6.1
1991,24
305.6,4.4
330,16
439,20
984,24
306.1,3.6
758,10
2618,23
774,22
1117,31
465.6,6.8
563,17
467.4,8.2
299,3.4
297.9,3.5
307.3,8.2
607.3,6.1
1751,35
323,5.6
1964,33
317,3.5
593.3,7.7
2817,32
311.4,2.7
3198,22
568,11
663.6,7.2
368,13
315.8,7.4
322.9,4.7
295.9,4.8
1954,25
350.1,6
639.4,9.9
2081,16
322.9,4.7
312.7,3.3
303.2,4.2
322.2,3.8
691,13
302.9,7
582.4,5.9
560,15
279.9,5.5
261.5,5.6
297.1,4.3
316.7,4
303.3,8.6
348,3.7
957,65
286.9,5
301.4,5.5
643,14
299.7,4.1
310.1,5.7
312.7,2.8
2024,15
326.4,3.5
379.5,4.8
462,6.8
312.7,3.3
303.1,5.1
978,36
753,15
301.9,6.4
2567,20
305.7,3.9
321,8
320.7,5.6
2630,17
322.2,3.2
300.1,3.4
312.4,3.1
2623,23
313.6,4.1
2086,23
311.4,4.1
691.2,7.4
324.3,8.5
306.4,7.6
2817,32
310.4,3.7
304.8,5.8
322,17
919,28
314.4,5.7
302.9,2.5
2013,35
308.1,3.7
305.5,4.4
752,13
316.8,4
1199,26
316.4,3.8
276,3.8
265.2,7.7
460.3,4.8
310.7,4
299.4,4.9
494.8,6.5
318.6,4.6
850,110
2621,17
532.2,7.2
347,11
304.4,4
309.6,7.3
282.9,3.4
335,4
2057,34
309.3,4
347,10
308,3.5
938,34
322,4.2
327.2,5.1
1573,30
329.6,4.1
312.5,3.2
301.3,5
607,11
305.5,4.4
296.4,3.3
989,29
302.9,8
512.9,6.6
2515,19
1022,43
295.7,7.8
302.4,5.9
300.6,6.1
313,3
468.3,7.8
623,11
463.9,4.3
2057,34
303.8,4.5
315.7,6.5
353.2,4.8
638,12
307.3,8.2
305.8,3.4
314.4,5.7
572,23
584.5,6.1
336.4,5.8
497.2,8.2
310.8,3.6
305.8,3.4
285.1,3.1
308.2,3.5
330.8,6.3
307,4.9
715,13
1106,23
313.4,3
451,5.5
529.7,7.8
572.4,8.4
450.1,8.4
2515,19
828,20
353.1,4.4
324.9,6.4
650,20
479,11
299.8,3.9
313.4,2.7
307.8,4.2
305.2,4.7
1663,20
338,7.7
336.4,5.9
624.2,8.4
334.4,4.4
526.6,8.1
577.1,9.9
306.2,2.9
683,8.5
323.7,3.6
314.9,3.7
285.3,3.8
337.1,4.9
311.6,5.1
299.4,4.9
322.6,4.3
652,12
286.7,3.8
491.5,4.9
312.4,8.1
664.3,8.1
2898,16
627.3,6.2
297.7,3.1
303.2,4.2
1029,33
293.4,2.9
348.7,7.5
261.7,3.5
308.5,4.2
1011,33
315.8,7.4
306,5.9
302.3,3.6
682.5,7.9
523.6,6.2
320.4,6.7
325.7,6.7
609,11
311.4,4.3
581.6,5.9
310,4.5
627,11
461.5,5.4
304,2.6
560.1,6.7
322.4,8.1
300.6,3.1
264.6,4.5
463.5,7.4
276,3.8
595,12
311.4,4.3
308,3.2
316.2,3.7
760,15
295.1,4.9
329,4.8
322.5,5.2
298.1,3.2
319.1,6.6
1006,46
329.8,9.5
296.8,8.2
296.6,7.9
1049,17
636.6,5.2
291.9,4.9
2618,23
400,14
1787,19
2725,15
297.5,3.9
314.2,5.7
294.8,4.2
1004,38
996,38
309.3,6
305.3,3
999,50
309.7,4
317.1,4.6
780,19
2159,64
317.2,3.8
301.8,5.2
306.2,3.7
582.6,9.9
838.3,7.7
308.9,3.6
2559,15
289.1,3.2
296,4
301.6,4.3
